,xg_home_rolling_3,xg_away_rolling_3,elo_home_rolling_3,elo_away_rolling_3,elo_rolling_diff,xg_rolling_diff,goal_ratio_diff,ga_per_xGA_diff,gf_per_xG_diff,elo_diff_x_xg_diff,elo_diff_sq,goal_ratio_home_rolling_1,goal_ratio_away_rolling_1
67,0.8,1.6666667,1675.1505941,1584.2970378,90.8535563,-0.8666667,-0.8888889,0.3240741,1.4583333,-78.7397488,8254.3686924,1.3333333,3.0
68,2.5,1.3333333,1945.1094971,1813.508545,131.6009521,1.1666667,-1.3888889,0.990984,-0.0187219,153.5344441,17318.8105936,0.3333333,4.0
69,1.3333333,2.4,1628.9197591,1742.4899495,-113.5701904,-1.0666667,-1.5888889,0.0418301,-0.5579606,121.1415365,12898.1881551,1.0,3.0
70,1.3,2.3,1717.2993571,1734.7809245,-17.4815674,-1.0,0.1111111,-0.6351981,-0.1184023,17.4815674,305.6051976,0.25,0.6666667
71,2.3,1.1,1698.2220459,1694.210734,4.0113119,1.2,0.2222222,-0.529402,-0.5148316,4.8135742,16.0906229,1.5,1.0
72,1.0666667,0.8666667,1815.262085,1469.5743408,345.6877442,0.2,0.4833333,-0.4491634,-0.3787879,69.1375488,119500.0164901,0.2,0.5
73,1.4666667,2.0666667,1547.2152506,1708.1150309,-160.8997803,-0.6,-0.3888889,-0.3597929,-0.2535371,96.5398682,25888.7393006,1.3333333,2.0
74,1.9666667,1.1666667,1748.6709391,1708.4259033,40.2450358,0.8,0.8388889,0.2295504,1.0606061,32.1960286,1619.6629065,0.5,0.3333333
75,2.6,1.1666667,1787.7261149,1548.7987874,238.9273275,1.4333333,3.2777778,0.2222222,0.9813002,342.4625027,57086.2678104,1.6666667,0.6666667
76,1.3666667,0.9666667,1693.6868896,1676.1774496,17.5094401,0.4,-0.2777778,0.4188993,-1.3879672,7.003776,306.5804914,0.5,1.0
77,2.0666667,1.4,1729.6593831,1629.8996582,99.7597249,0.6666667,0.0555556,0.4193732,-0.201907,66.5064833,9952.0027188,3.0,2.0
78,1.8333333,2.7,1585.4966227,1938.1736247,-352.6770019,-0.8666667,-0.8333333,0.9014352,0.0061714,305.6534017,124381.0676927,1.0,5.0
79,1.2,1.1666667,1579.7483724,1631.8422038,-52.0938314,0.0333333,0.6333333,0.6704545,-0.6277778,-1.736461,2713.7672665,2.0,0.6
80,2.1333333,1.5666667,1717.4978435,1611.2523193,106.2455242,0.5666667,1.3240741,-1.3365449,0.4027856,60.205797,11288.1114054,1.5,0.75
81,0.8333333,1.5,1678.8366293,1554.3808594,124.4557699,-0.6666667,-0.8333333,0.7696687,2.2338171,-82.9705133,15489.2386614,1.5,3.0
82,1.3,2.5333333,1471.7469075,1793.78007,-322.0331624,-1.2333333,-3.8055556,-0.3015873,-1.5782671,397.1742337,103705.3577068,1.0,2.5
83,0.9333333,1.5,1542.8154704,1582.086792,-39.2713216,-0.5666667,-2.1166667,-0.7694962,-0.5258285,22.2537489,1542.2367028,0.4,5.0
84,2.0666667,1.6,1723.4495443,1585.6785889,137.7709554,0.4666667,0.5444444,-0.0925541,0.1507937,64.2931125,18980.836161,0.3333333,0.2
85,0.5,1.5666667,1624.8912354,1816.7788086,-191.8875733,-1.0666667,-1.3,0.7402035,0.1010101,204.6800782,36820.8407742,0.2,1.0
86,3.0333333,2.4666667,1935.1854248,1733.7338053,201.4516195,0.5666667,1.8888889,-0.0543901,0.0239041,114.1559177,40582.7549857,5.0,1.0
87,1.2333333,1.7333333,1695.1186523,1691.5836995,3.5349528,-0.5,0.4722222,-0.9130402,-0.294369,-1.7674764,12.4958913,3.0,0.6666667
88,1.9,1.0666667,1721.0002441,1638.6212158,82.3790283,0.8333333,-0.0555556,0.1856311,-0.4462302,68.6491903,6786.3043091,0.3333333,1.0
89,1.8,1.8666667,1607.9013672,1746.7178141,-138.816447,-0.0666667,0.0092593,0.8045691,0.4514712,9.2544298,19270.0059484,3.0,0.3333333
90,1.4333333,0.7,1751.1532389,1619.1814372,131.9718018,0.7333333,0.0111111,-0.6899085,-1.2777778,96.7793213,17416.5564615,0.6666667,0.6666667
91,1.6666667,2.2333333,1591.252889,1613.9364014,-22.6835124,-0.5666667,0.9166667,-0.9646465,-0.1135811,12.8539903,514.5417333,1.0,1.5
92,2.7,3.4,1730.4316406,1939.7341308,-209.3024902,-0.7,-2.2222222,0.4980727,-0.0467859,146.5117432,43807.5324179,1.6666667,0.6666667
93,2.0333333,2.0666667,1807.1256917,1722.3993327,84.726359,-0.0333333,0.8888889,0.6759259,1.1590752,-2.824212,7178.555915,1.3333333,1.0
94,1.1666667,1.4666667,1648.7224121,1694.0651448,-45.3427327,-0.3,-0.1611111,-1.08793,0.3019943,13.6028198,2055.9634117,0.6,0.75
95,2.1333333,1.1666667,1744.0456136,1687.4909261,56.5546875,0.9666667,0.5,-0.4291126,-0.9052682,54.6695312,3198.4326782,1.5,1.5
96,1.2333333,1.2333333,1818.6969401,1592.8322754,225.8646648,-0.0,0.1666667,-0.1184371,0.2645503,-0.0,51014.8467902,1.5,1.0
97,1.6666667,1.6333333,1689.1490072,1475.6313883,213.5176188,0.0333333,0.0833333,0.3372826,0.2391187,7.117254,45589.7735523,1.3333333,0.75
98,1.5,0.9,1570.5894368,1542.0461833,28.5432536,0.6,0.9777778,-0.3216011,0.2840909,17.1259521,814.7173242,0.6666667,1.0
99,1.8666667,2.4,1717.846639,1601.8944092,115.9522298,-0.5333333,-1.8888889,0.3703704,-0.5211988,-61.8411892,13444.9196033,0.5,1.5
100,0.9333333,1.0333333,1614.1558024,1654.5924886,-40.4366862,-0.1,-0.5777778,1.2123728,-0.5679876,4.0436686,1635.1255908,1.0,2.0
101,0.5666667,2.5666667,1598.0117187,1813.8803304,-215.8686117,-2.0,-1.4888889,-0.2249035,-1.0426731,431.7372233,46599.2575029,0.1666667,2.0
102,2.6666667,1.4333333,1945.7705892,1690.2781169,255.4924723,1.2333333,1.2777778,-0.4251304,-0.2342672,315.1073825,65276.403402,0.6666667,0.5
103,1.0,2.7333333,1543.2229004,1757.9270834,-214.704183,-1.7333333,-0.7555556,0.3642093,0.0011168,372.1539172,46097.8861977,0.3333333,1.5
104,1.6333333,2.2333333,1625.4254151,1816.9595134,-191.5340983,-0.6,-1.1111111,-0.2678571,0.122649,114.920459,36685.3108116,0.6666667,6.0
105,1.7,1.7666667,1479.0906169,1581.5895996,-102.4989827,-0.0666667,-0.9722222,0.6666667,0.2013715,6.8332655,10506.0414614,2.0,3.0
106,1.1,1.7,1694.3688151,1747.3068034,-52.9379883,-0.6,0.5555556,-0.763423,1.2301587,31.762793,2802.4306017,0.6666667,1.0
107,1.7,2.4666667,1697.3925781,1735.8634033,-38.4708252,-0.7666667,0.25,0.3988604,-0.0063714,29.4942993,1480.0043916,0.5,1.5
108,2.5666667,0.4,1609.9441325,1597.2269287,12.7172038,2.1666667,0.9166667,0.3749464,0.5522487,27.5539415,161.7272716,1.6666667,0.25
109,2.1,3.0,1817.9451904,1816.857015,1.0881754,-0.9,1.7222222,-0.3055556,0.8472758,-0.9793579,1.1841258,5.0,4.0
110,1.8,1.9,1588.7094726,1706.9821371,-118.2726644,-0.1,0.8555556,-0.521164,0.0362364,11.8272664,13988.4231522,1.0,0.6
111,0.9666667,0.9,1686.6305339,1635.3079834,51.3225504,0.0666667,-0.0825397,-0.422619,0.3072425,3.4215034,2634.004183,0.2857143,0.2
112,1.7,1.3666667,1737.435262,1540.556071,196.8791911,0.3333333,-0.7222222,0.6874237,-0.2002377,65.626397,38761.4158751,0.5,3.0
113,1.4333333,1.1,1763.4683024,1610.3286946,153.1396078,0.3333333,-0.1111111,-0.0443511,-0.4285714,51.0465359,23451.7394771,0.3333333,2.0
114,2.3333333,1.4666667,1734.9963786,1486.5662435,248.4301351,0.8666667,0.0277778,0.448493,0.3460317,215.3061171,61717.5320092,0.6666667,1.0
115,1.7,1.2,1700.6797689,1698.122111,2.5576579,0.5,-0.4722222,1.4061355,-0.2649573,1.2788289,6.5416139,1.5,2.0
116,0.9666667,3.2666667,1657.1139323,1944.37618,-287.2622477,-2.3,-0.5777778,-1.0239316,0.4062049,660.7031697,82519.5989537,0.5,3.5
117,1.4666667,2.3,1695.3506673,1822.4402669,-127.0895996,-0.8333333,-2.6333333,0.3787879,-0.5853711,105.9079997,16151.7663265,3.0,1.0
118,0.9333333,1.3333333,1630.2027995,1757.9920247,-127.7892252,-0.4,1.5111111,0.2433049,1.2619048,51.1156901,16330.0860857,6.0,0.5
119,3.1333333,2.3333333,1818.4696045,1614.8359375,203.633667,0.8,-0.0555556,-0.2063492,-0.4680736,162.9069336,41466.6703494,1.0,4.0
120,3.7666667,1.9666667,1936.5426432,1695.9368896,240.6057536,1.8,1.0555556,-0.0218254,0.1944851,433.0903565,57891.1286654,2.0,1.0
121,1.6,0.8666667,1540.822998,1681.1105957,-140.2875977,0.7333333,1.3492063,-0.6079973,0.5383557,-102.8775716,19680.6100591,1.6666667,0.1666667
122,1.2333333,1.1666667,1697.4136963,1651.9829915,45.4307047,0.0666667,0.2222222,-0.2166851,0.0193001,3.0287136,2063.9489326,1.0,0.5
123,1.2666667,1.6,1610.2765706,1731.1856283,-120.9090576,-0.3333333,-0.0555556,-0.4320124,-0.1419414,40.3030192,14619.0002178,2.0,3.0
124,0.3,1.7666667,1591.9199219,1586.6745605,5.2453613,-1.4666667,-1.2222222,0.3710854,-0.5263158,-7.6931966,27.5138155,0.25,0.3333333
125,1.1333333,1.5,1488.0159505,1722.6494547,-234.6335042,-0.3666667,0.4111111,-1.1343744,-0.3030303,86.0322849,55052.8812932,0.3333333,0.6
126,1.5333333,1.5333333,1695.8248698,1726.0382894,-30.2134196,0.0,-0.2222222,-0.1794872,0.2202381,-0.0,912.8507239,1.0,1.0
127,1.5,1.8,1622.9038899,1824.8400065,-201.9361166,-0.3,-0.1666667,-0.3867478,0.0865801,60.580835,40778.195174,0.5,0.6666667
128,1.4,1.4,1688.5507406,1704.9373372,-16.3865967,0.0,1.1111111,-0.6788942,1.0119851,-0.0,268.5205503,1.5,0.6666667
129,1.5666667,2.0,1629.8850098,1647.8589274,-17.9739176,-0.4333333,1.5666667,0.3095664,0.452381,7.7886976,323.0617151,0.5,1.0
130,1.4666667,1.7333333,1547.1512451,1693.9791667,-146.8279215,-0.2666667,1.2777778,-0.593254,0.8866463,39.1541124,21558.4385418,2.0,0.3333333
